brand,country,channel,store_code,store_name,expense_category,account_name,account_name_en,account_name_clean,account_level,parent_account_name,account_group_name,year,amount,source_column,source_row
M,HK,리테일,M05,LCX,직접비,12. 기타 수수료(매장관리비 외),12. Other Fees (Excl. Store Overheads),12. 기타 수수료(매장관리비 외),parent,,12. 기타 수수료(매장관리비 외),2026,566.03366,26년 합계,164
M,HK,리테일,M05,LCX,직접비,13. 보험료,13. Insurance,13. 보험료,parent,,13. 보험료,2022,22.944570000000006,22년 합계,165
M,HK,리테일,M05,LCX,직접비,13. 보험료,13. Insurance,13. 보험료,parent,,13. 보험료,2023,18.83552,23년 합계,165
M,HK,리테일,M05,LCX,직접비,13. 보험료,13. Insurance,13. 보험료,parent,,13. 보험료,2024,17.50911,24년 합계,165
M,HK,리테일,M05,LCX,직접비,13. 보험료,13. Insurance,13. 보험료,parent,,13. 보험료,2025,22.723669999999995,25년 합계,165
M,HK,리테일,M05,LCX,직접비,13. 보험료,13. Insurance,13. 보험료,parent,,13. 보험료,2026,23.24874,26년 합계,165
M,HK,리테일,M05,LCX,직접비,14. 감가상각비,14. Depreciation,14. 감가상각비,parent,,14. 감가상각비,2022,18.824740000000002,22년 합계,166
M,HK,리테일,M05,LCX,직접비,14. 감가상각비,14. Depreciation,14. 감가상각비,parent,,14. 감가상각비,2023,0,23년 합계,166
M,HK,리테일,M05,LCX,직접비,14. 감가상각비,14. Depreciation,14. 감가상각비,parent,,14. 감가상각비,2024,0,24년 합계,166
M,HK,리테일,M05,LCX,직접비,14. 감가상각비,14. Depreciation,14. 감가상각비,parent,,14. 감가상각비,2025,107.60713999999999,25년 합계,166
M,HK,리테일,M05,LCX,직접비,14. 감가상각비,14. Depreciation,14. 감가상각비,parent,,14. 감가상각비,2026,637.0599500000001,26년 합계,166
M,HK,리테일,M05,LCX,직접비,15. 면세점 직접비,15. Duty Free Direct Expense,15. 면세점 직접비,parent,,15. 면세점 직접비,2022,0,22년 합계,167
M,HK,리테일,M05,LCX,직접비,15. 면세점 직접비,15. Duty Free Direct Expense,15. 면세점 직접비,parent,,15. 면세점 직접비,2023,0,23년 합계,167
M,HK,리테일,M05,LCX,직접비,15. 면세점 직접비,15. Duty Free Direct Expense,15. 면세점 직접비,parent,,15. 면세점 직접비,2024,0,24년 합계,167
M,HK,리테일,M05,LCX,직접비,15. 면세점 직접비,15. Duty Free Direct Expense,15. 면세점 직접비,parent,,15. 면세점 직접비,2025,0,25년 합계,167
M,HK,리테일,M05,LCX,직접비,15. 면세점 직접비,15. Duty Free Direct Expense,15. 면세점 직접비,parent,,15. 면세점 직접비,2026,0,26년 합계,167
M,HK,리테일,M05,LCX,직접비,영업이익,Operating Profit,영업이익,parent,,영업이익,2022,6827.613638715785,22년 합계,168
M,HK,리테일,M05,LCX,직접비,영업이익,Operating Profit,영업이익,parent,,영업이익,2023,5891.578398621221,23년 합계,168
M,HK,리테일,M05,LCX,직접비,영업이익,Operating Profit,영업이익,parent,,영업이익,2024,-193.47329924912788,24년 합계,168
M,HK,리테일,M05,LCX,직접비,영업이익,Operating Profit,영업이익,parent,,영업이익,2025,-1132.6896949911893,25년 합계,168
M,HK,리테일,M05,LCX,직접비,영업이익,Operating Profit,영업이익,parent,,영업이익,2026,592.4087817412335,26년 합계,168
M,HK,아울렛,M03,Temp HK,직접비,Tag매출액,Tag Sales,Tag매출액,parent,,Tag매출액,2022,770.773,22년 합계,170
M,HK,아울렛,M03,Temp HK,직접비,Tag매출액,Tag Sales,Tag매출액,parent,,Tag매출액,2023,0,23년 합계,170
M,HK,아울렛,M03,Temp HK,직접비,Tag매출액,Tag Sales,Tag매출액,parent,,Tag매출액,2024,0,24년 합계,170
M,HK,아울렛,M03,Temp HK,직접비,Tag매출액,Tag Sales,Tag매출액,parent,,Tag매출액,2025,0,25년 합계,170
M,HK,아울렛,M03,Temp HK,직접비,Tag매출액,Tag Sales,Tag매출액,parent,,Tag매출액,2026,0,26년 합계,170
M,HK,아울렛,M03,Temp HK,직접비,할인율,Discount Rate,할인율,parent,,할인율,2022,0.10910735067263644,22년 합계,171
M,HK,아울렛,M03,Temp HK,직접비,할인율,Discount Rate,할인율,parent,,할인율,2023,0,23년 합계,171
M,HK,아울렛,M03,Temp HK,직접비,할인율,Discount Rate,할인율,parent,,할인율,2024,0,24년 합계,171
M,HK,아울렛,M03,Temp HK,직접비,할인율,Discount Rate,할인율,parent,,할인율,2025,0,25년 합계,171
M,HK,아울렛,M03,Temp HK,직접비,할인율,Discount Rate,할인율,parent,,할인율,2026,0,26년 합계,171
M,HK,아울렛,M03,Temp HK,직접비,실매출액,Net Sales,실매출액,parent,,실매출액,2022,686.676,22년 합계,172
M,HK,아울렛,M03,Temp HK,직접비,실매출액,Net Sales,실매출액,parent,,실매출액,2023,0,23년 합계,172
M,HK,아울렛,M03,Temp HK,직접비,실매출액,Net Sales,실매출액,parent,,실매출액,2024,0,24년 합계,172
M,HK,아울렛,M03,Temp HK,직접비,실매출액,Net Sales,실매출액,parent,,실매출액,2025,0,25년 합계,172
M,HK,아울렛,M03,Temp HK,직접비,실매출액,Net Sales,실매출액,parent,,실매출액,2026,0,26년 합계,172
M,HK,아울렛,M03,Temp HK,직접비,매출원가,Cost of Sales,매출원가,child,매출원가합계,매출원가합계,2022,228.99146000000002,22년 합계,173
M,HK,아울렛,M03,Temp HK,직접비,매출원가,Cost of Sales,매출원가,child,매출원가합계,매출원가합계,2023,0,23년 합계,173
M,HK,아울렛,M03,Temp HK,직접비,매출원가,Cost of Sales,매출원가,child,매출원가합계,매출원가합계,2024,0,24년 합계,173
M,HK,아울렛,M03,Temp HK,직접비,매출원가,Cost of Sales,매출원가,child,매출원가합계,매출원가합계,2025,0,25년 합계,173
M,HK,아울렛,M03,Temp HK,직접비,매출원가,Cost of Sales,매출원가,child,매출원가합계,매출원가합계,2026,0,26년 합계,173
M,HK,아울렛,M03,Temp HK,직접비,운반비,Freight Expense,운반비,child,매출원가합계,매출원가합계,2022,8.317248388704419,22년 합계,174
M,HK,아울렛,M03,Temp HK,직접비,운반비,Freight Expense,운반비,child,매출원가합계,매출원가합계,2023,0,23년 합계,174
M,HK,아울렛,M03,Temp HK,직접비,운반비,Freight Expense,운반비,child,매출원가합계,매출원가합계,2024,0,24년 합계,174
M,HK,아울렛,M03,Temp HK,직접비,운반비,Freight Expense,운반비,child,매출원가합계,매출원가합계,2025,0,25년 합계,174
M,HK,아울렛,M03,Temp HK,직접비,운반비,Freight Expense,운반비,child,매출원가합계,매출원가합계,2026,0,26년 합계,174
M,HK,아울렛,M03,Temp HK,직접비,매출원가합계,Total Cost of Sales,매출원가합계,parent,,매출원가합계,2022,237.30870838870442,22년 합계,175
M,HK,아울렛,M03,Temp HK,직접비,매출원가합계,Total Cost of Sales,매출원가합계,parent,,매출원가합계,2023,0,23년 합계,175
M,HK,아울렛,M03,Temp HK,직접비,매출원가합계,Total Cost of Sales,매출원가합계,parent,,매출원가합계,2024,0,24년 합계,175
M,HK,아울렛,M03,Temp HK,직접비,매출원가합계,Total Cost of Sales,매출원가합계,parent,,매출원가합계,2025,0,25년 합계,175
M,HK,아울렛,M03,Temp HK,직접비,매출원가합계,Total Cost of Sales,매출원가합계,parent,,매출원가합계,2026,0,26년 합계,175
M,HK,아울렛,M03,Temp HK,직접비,매출총이익,Gross Profit,매출총이익,parent,,매출총이익,2022,449.3672916112956,22년 합계,176
M,HK,아울렛,M03,Temp HK,직접비,매출총이익,Gross Profit,매출총이익,parent,,매출총이익,2023,0,23년 합계,176
M,HK,아울렛,M03,Temp HK,직접비,매출총이익,Gross Profit,매출총이익,parent,,매출총이익,2024,0,24년 합계,176
M,HK,아울렛,M03,Temp HK,직접비,매출총이익,Gross Profit,매출총이익,parent,,매출총이익,2025,-204.90821204045653,25년 합계,176
